Physical Record ID,BL record ID,ARK
002874461,014827268,ark:/81055/vdc_00000004042E
002276796,014817578,ark:/81055/vdc_00000002F48A
003982682,014784797,ark:/81055/vdc_000000059DE4
000600877,014806816,ark:/81055/vdc_0000000363F0
000057229,014635255,ark:/81055/vdc_0000000426AE
003976836,014832535,ark:/81055/vdc_0000000296D6
003678777,014831120,ark:/81055/vdc_0000000343BC
003481215,014830070,ark:/81055/vdc_000000056088
003316901,014829092,ark:/81055/vdc_0000000374FA
003316900,014823996,ark:/81055/vdc_000000037098
003185999,014828665,ark:/81055/vdc_000000044E1A
002540884,014912523,ark:/81055/vdc_00000001F00E
003981622,014610235,ark:/81055/vdc_00000002CFF4
003981539,014897238,ark:/81055/vdc_00000001C740
003981527,014905541,ark:/81055/vdc_00000001E390
002391536,014818523,ark:/81055/vdc_000000038E08
003981390,014832583,ark:/81055/vdc_00000003312C
001945781,014872092,ark:/81055/vdc_000000013C44
001572154,015111173,ark:/81055/vdc_000000023538
001364922,014811408,ark:/81055/vdc_000000055938
000809063,014816560,ark:/81055/vdc_000000029988
003981300,014832580,ark:/81055/vdc_000000053D24
000777805,014807931,ark:/81055/vdc_000000055D9A
003981313,014824902,ark:/81055/vdc_00000005A582
003981318,014873175,ark:/81055/vdc_000000014CE2
003981270,014880488,ark:/81055/vdc_000000017148
003981279,014824898,ark:/81055/vdc_00000003A710
003981280,014824899,ark:/81055/vdc_00000004A1DE
003981282,014824900,ark:/81055/vdc_00000004ACFA
003981273,014832579,ark:/81055/vdc_00000004094A
003981286,014824901,ark:/81055/vdc_00000005530E
003981179,014848295,ark:/81055/vdc_000000006E40
000777559,014807923,ark:/81055/vdc_0000000549C6
003981152,014608281,ark:/81055/vdc_000000029E32
003981177,014628971,ark:/81055/vdc_0000000397B0
003981189,014643625,ark:/81055/vdc_0000000465AE
003819217,014841519,ark:/81055/vdc_00000000352E
003819213,014831474,ark:/81055/vdc_00000005C15A
000777561,014807925,ark:/81055/vdc_0000000555BA
003980880,014880487,ark:/81055/vdc_000000016332
003980808,014897237,ark:/81055/vdc_00000001CAB8
003980736,014824897,ark:/81055/vdc_00000003EF4C
003980652,014832578,ark:/81055/vdc_00000002B3F2
000777802,014807928,ark:/81055/vdc_0000000539D6
